Dur,SrcAddr,DstAddr,Proto,TotBytes,Sport,Dport,Label,Rand
11.971245,192.168.137.87,158.69.127.66,TCP,66,36387,443,Normal,0.002555893
66.530494,59.152.9.237,192.168.137.85,TCP,1434,443,36674,Botnet,0.00260025
78.913486,192.168.137.87,183.36.108.251,TCP,54,33566,80,Normal,0.002604897
79.471775,192.168.137.233,183.36.108.251,TCP,54,56115,80,Botnet,0.00261067
86.794481,216.58.196.174,192.168.137.87,TCP,1434,443,54531,Normal,0.002632422
13.357957,192.168.137.87,158.69.127.66,TCP,66,36387,443,Normal,0.002638486
54.477735,192.168.137.87,172.217.166.97,TCP,66,55780,443,Normal,0.002717662
3.672101,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.002736073
13.386322,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.002754104
0.693693,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.002765157
60.558176,192.168.137.233,172.217.26.173,TCP,94,51407,443,Botnet,0.002869813
78.646265,192.168.137.233,23.20.239.12,HTTP,285,38022,80,Botnet,0.002881751
68.711009,59.152.9.237,192.168.137.85,TLSv1.2,1434,443,36674,Botnet,0.002932606
116.714506,192.229.237.96,192.168.137.87,TLSv1.2,176,443,44119,Normal,0.002969167
1.245904,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.002995457
121.586669,192.168.137.87,192.229.237.96,TCP,66,44128,443,Normal,0.003007373
59.53658,192.168.137.85,59.152.9.237,TCP,94,36674,443,Botnet,0.003059284
38.491559,172.217.167.132,192.168.137.87,TLSv1.2,1434,443,40652,Normal,0.003104865
39.330862,216.58.200.142,192.168.137.87,TCP,66,443,41469,Normal,0.003118177
87.74325,192.168.137.87,172.217.26.173,TCP,66,47516,443,Normal,0.003119688
6.429182,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.003148277
65.167039,192.168.137.85,59.152.9.237,TCP,66,36674,443,Botnet,0.003163358
1.432298,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.003184639
5.968257,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.003306846
1.074512,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.003323865
38.499138,192.168.137.87,172.217.167.132,TCP,66,40652,443,Normal,0.003407161
59.731519,192.168.137.85,59.152.9.237,TCP,94,36674,443,Botnet,0.003415189
60.481562,192.168.137.233,172.217.26.173,TCP,66,51407,443,Botnet,0.003548434
41.945673,192.168.137.87,103.102.166.224,TCP,66,53196,443,Normal,0.003548749
13.15723,192.168.137.87,158.69.127.66,TCP,66,36387,443,Normal,0.003575698
3.33837,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.003597408
0.359217,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.003607509
1.328501,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.003643788
48.675815,103.102.166.224,192.168.137.87,TLSv1.2,621,443,53196,Normal,0.003692013
60.368077,172.217.26.173,192.168.137.233,TLSv1.2,1434,443,51407,Botnet,0.003797495
111.367336,172.217.167.132,192.168.137.87,TCP,66,443,41484,Normal,0.00380384
59.411751,59.152.9.237,192.168.137.85,TLSv1.2,118,443,36674,Botnet,0.004106848
81.491861,183.36.108.251,192.168.137.87,TCP,66,80,44022,Normal,0.004126094
1.140745,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.004255526
3.657938,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.00430881
116.876552,192.229.237.96,192.168.137.87,TCP,1434,443,44118,Normal,0.004398268
44.448126,192.168.137.85,43.227.117.155,TCP,66,51522,80,Botnet,0.004450398
86.94485,192.168.137.87,216.58.196.174,TLSv1.2,1434,54531,443,Normal,0.004462929
68.653932,59.152.9.237,192.168.137.85,TLSv1.2,1434,443,36674,Botnet,0.004465679
33.684017,192.168.137.233,183.36.108.251,TCP,66,55972,80,Botnet,0.004470686
11.858513,203.205.219.244,192.168.137.233,TCP,54,8011,59577,Botnet,0.004526745
5.078544,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.004599241
3.94184,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.004608212
4.150299,192.168.137.87,158.69.127.66,TCP,66,36387,443,Normal,0.004639164
1.745429,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.004683167
9.099667,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.00469916
68.342546,192.168.137.85,59.152.9.237,TCP,66,36674,443,Botnet,0.004743676
61.534431,59.152.9.237,192.168.137.85,TLSv1.2,1434,443,36674,Botnet,0.004751717
68.306083,192.168.137.85,59.152.9.237,TCP,66,36674,443,Botnet,0.004817271
39.581127,192.168.137.85,52.27.59.57,TCP,66,42480,80,Botnet,0.004858759
67.510228,59.152.9.237,192.168.137.85,TCP,1434,443,36674,Botnet,0.004876586
5.189354,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.004879237
49.52454,183.36.108.251,192.168.137.233,TCP,54,80,56091,Botnet,0.004917013
3.534843,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.004960698
125.009916,192.229.237.96,192.168.137.87,TLSv1.2,1434,443,44123,Normal,0.005035547
87.855451,192.168.137.87,172.217.26.173,TCP,66,47516,443,Normal,0.005038135
43.460096,192.168.137.87,103.102.166.224,TCP,66,53196,443,Normal,0.005113628
12.096515,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.005131513
111.159203,172.217.167.132,192.168.137.87,TLSv1.2,104,443,41484,Normal,0.005168709
27.747904,192.168.137.233,23.20.239.12,TCP,66,48816,80,Botnet,0.005171357
24.035688,183.36.108.251,192.168.137.233,HTTP,1095,80,56057,Botnet,0.005220504
69.034747,59.152.9.237,192.168.137.85,TLSv1.2,1434,443,36674,Botnet,0.005233549
66.3595,192.168.137.85,59.152.9.237,TCP,66,36674,443,Botnet,0.005265934
4.799868,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.005359994
8.34046,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.005390445
60.146786,192.168.137.233,172.217.163.202,TCP,78,45039,443,Botnet,0.005403983
32.820457,192.168.137.233,183.36.108.251,TCP,54,55939,80,Botnet,0.005435935
64.949241,192.168.137.85,59.152.9.237,TCP,66,36674,443,Botnet,0.005451388
65.498103,192.168.137.85,59.152.9.237,TCP,66,36674,443,Botnet,0.005542392
208.189098,192.168.137.1,224.0.0.251,MDNS,95,5353,5353,Normal,0.005665901
66.9567,59.152.9.237,192.168.137.85,TCP,1434,443,36674,Botnet,0.005669084
121.494142,192.229.237.96,192.168.137.87,TLSv1.2,1434,443,44123,Normal,0.005669285
14.186629,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.005701504
6.903679,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.005703153
1.200507,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.005729209
120.891268,192.168.137.87,192.229.237.96,TCP,66,44123,443,Normal,0.005730681
28.794778,192.168.137.233,183.36.108.251,HTTP,989,56065,80,Botnet,0.005746015
75.694757,192.168.137.87,183.36.108.251,TCP,54,44018,80,Normal,0.005751882
12.084729,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.005767505
121.043239,192.229.237.96,192.168.137.87,TCP,1434,443,44123,Normal,0.005772404
10.012695,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.005773053
39.253914,192.168.137.85,178.33.210.255,TCP,66,48764,80,Botnet,0.005799516
36.080216,192.168.137.87,172.217.163.162,TCP,66,37963,443,Normal,0.00580403
6.260073,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.005821967
40.293883,192.168.137.87,172.217.166.97,TLSv1.2,112,55796,443,Normal,0.005868929
63.002348,59.152.9.237,192.168.137.85,TLSv1.2,1434,443,36674,Botnet,0.005883497
2.663635,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.005897219
63.344099,59.152.9.237,192.168.137.85,TCP,1434,443,36674,Botnet,0.005900992
7.408546,158.69.127.66,192.168.137.87,SSLv2,1434,443,36387,Normal,0.005972964
0.13243,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.005986627
9.677035,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.006012144
80.046814,192.168.137.233,183.36.108.251,TCP,74,56117,80,Botnet,0.006014642
67.068691,192.168.137.85,59.152.9.237,TCP,66,36674,443,Botnet,0.006068607
1.585849,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.006187304
10.464464,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.006241925
10.807251,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.006256445
66.320616,192.168.137.85,59.152.9.237,TCP,94,36674,443,Botnet,0.006337813
63.503565,192.168.137.85,59.152.9.237,TCP,66,36674,443,Botnet,0.006346724
5.824028,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.00645098
14.070524,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.006459695
9.502692,37.187.163.89,192.168.137.85,TCP,62,80,51692,Botnet,0.006502452
129.586261,172.217.163.174,192.168.137.87,TCP,66,443,50891,Normal,0.006506279
6.103086,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.006511702
12.315846,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.00656621
13.393281,192.168.137.87,158.69.127.66,TCP,66,36387,443,Normal,0.006577691
10.95904,192.168.137.87,158.69.127.66,TCP,78,36387,443,Normal,0.006637387
64.427471,192.168.137.85,59.152.9.237,TCP,94,36674,443,Botnet,0.006664026
3.565271,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.006792797
39.1672,192.168.137.233,23.20.239.12,TCP,66,59203,80,Botnet,0.006805222
65.858031,192.168.137.85,59.152.9.237,TCP,66,36674,443,Botnet,0.006891187
64.884375,192.168.137.85,59.152.9.237,TCP,66,36674,443,Botnet,0.006919203
3.164939,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.006984708
60.095025,192.168.137.233,172.217.26.173,TCP,66,51407,443,Botnet,0.007018944
7.251114,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.007036783
18.64582,192.168.137.233,23.20.239.12,TCP,66,34970,80,Botnet,0.007055853
92.840238,192.168.137.87,172.217.26.173,TCP,66,47516,443,Normal,0.007092219
66.114153,59.152.9.237,192.168.137.85,TCP,1434,443,36674,Botnet,0.007108624
66.168868,59.152.9.237,192.168.137.85,TCP,1434,443,36674,Botnet,0.007142617
60.346478,172.217.26.173,192.168.137.233,TLSv1.2,1434,443,51407,Botnet,0.007156725
0.015781,192.168.137.87,158.69.127.66,TCP,66,36387,443,Normal,0.007171126
3.439403,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.007175833
64.773072,59.152.9.237,192.168.137.85,TCP,1434,443,36674,Botnet,0.007217785
89.759171,192.168.137.233,183.36.108.251,TCP,66,56124,80,Botnet,0.007233552
4.98237,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.007234065
49.099256,192.168.137.87,103.102.166.240,TCP,66,48261,443,Normal,0.007303865
52.266095,192.168.137.87,172.217.167.132,TCP,66,40652,443,Normal,0.0073228
59.556432,192.168.137.85,59.152.9.237,TCP,94,36674,443,Botnet,0.007353889
1.522041,158.69.127.66,192.168.137.87,SSLv2,1434,443,36387,Normal,0.007436602
68.331489,59.152.9.237,192.168.137.85,TCP,1434,443,36674,Botnet,0.007526355
60.481563,192.168.137.233,172.217.26.173,TCP,66,51407,443,Botnet,0.007531177
11.188834,192.168.137.87,183.36.108.251,TCP,74,43961,80,Normal,0.00756999
8.346736,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.007585729
0.160422,192.168.137.87,158.69.127.66,TCP,66,36387,443,Normal,0.007597175
10.52983,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.007693694
24.490621,192.168.137.233,183.36.108.251,TCP,54,55960,80,Botnet,0.007800035
1.878525,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.007823204
64.527523,192.168.137.85,59.152.9.237,TCP,86,36674,443,Botnet,0.007832125
74.230436,183.36.108.251,192.168.137.87,HTTP,1095,80,44015,Normal,0.008082503
125.99719,172.217.166.110,192.168.137.87,TCP,66,443,34325,Normal,0.008095657
14.078576,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.008118171
6.794508,192.168.137.87,158.69.127.66,TCP,86,36387,443,Normal,0.008149521
125.708545,192.229.237.96,192.168.137.87,TCP,66,443,44123,Normal,0.008152948
9.456702,192.168.137.87,158.69.127.66,TCP,78,36387,443,Normal,0.008230011
60.327972,59.152.9.237,192.168.137.85,TLSv1.2,1434,443,36674,Botnet,0.008347258
66.561208,59.152.9.237,192.168.137.85,TLSv1.2,1434,443,36674,Botnet,0.008402171
9.508541,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.008403971
14.182518,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.008451743
0.866359,192.168.137.87,183.36.108.251,TCP,74,43959,80,Normal,0.008480273
7.811785,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.00851398
12.120339,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.008546547
13.587873,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.008649458
66.880677,59.152.9.237,192.168.137.85,TLSv1.2,1434,443,36674,Botnet,0.008674239
86.557052,104.18.8.103,192.168.137.87,TCP,54,443,55856,Normal,0.008684558
63.926213,59.152.9.237,192.168.137.85,TCP,1434,443,36674,Botnet,0.008710554
6.255734,192.168.137.233,183.36.108.251,HTTP,989,55940,80,Botnet,0.008713738
13.883821,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.008749133
40.317769,192.168.137.87,172.217.167.132,TLSv1.2,448,40652,443,Normal,0.008942705
41.254453,172.217.167.132,192.168.137.87,TLSv1.2,139,443,40652,Normal,0.009033061
2.099839,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.009044131
63.816277,59.152.9.237,192.168.137.85,TLSv1.2,1370,443,36674,Botnet,0.009058888
4.689208,158.69.127.66,192.168.137.87,SSLv2,1434,443,36387,Normal,0.009083282
48.25548,192.168.137.87,103.102.166.224,TCP,66,53196,443,Normal,0.009098285
65.786663,192.168.137.85,59.152.9.237,TCP,66,36674,443,Botnet,0.009131758
0.477808,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.009172476
2.909762,192.168.137.87,158.69.127.66,TCP,66,36387,443,Normal,0.009200838
107.468405,192.168.137.87,172.217.167.132,TCP,66,40652,443,Normal,0.009323984
121.663257,192.168.137.87,192.229.237.96,TCP,66,44128,443,Normal,0.009332656
1.289652,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.009413547
60.80114,192.168.137.233,183.36.108.251,TCP,54,56002,80,Botnet,0.009448574
91.811891,172.217.163.67,192.168.137.87,TLSv1.2,1434,443,43997,Normal,0.009502271
69.006661,59.152.9.237,192.168.137.85,TLSv1.2,1434,443,36674,Botnet,0.009549214
12.848703,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.009560119
10.514173,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.009562208
1.892637,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.009571926
8.111213,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.009588847
66.944405,59.152.9.237,192.168.137.85,TCP,1434,443,36674,Botnet,0.009661196
59.639132,192.168.137.85,59.152.9.237,TCP,66,36674,443,Botnet,0.009695862
112.300106,192.168.137.233,183.36.108.251,TCP,74,56031,80,Botnet,0.009714454
66.466437,59.152.9.237,192.168.137.85,TLSv1.2,1434,443,36674,Botnet,0.009717175
63.64589,59.152.9.237,192.168.137.85,TCP,1434,443,36674,Botnet,0.00974513
68.584737,192.168.137.85,59.152.9.237,TCP,66,36674,443,Botnet,0.009750347
12.110123,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.009766518
63.426881,59.152.9.237,192.168.137.85,TCP,1434,443,36674,Botnet,0.00980131
68.564656,192.168.137.85,59.152.9.237,TCP,66,36674,443,Botnet,0.00981289
14.033292,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.009866642
49.062232,192.168.137.233,183.36.108.251,TCP,54,55992,80,Botnet,0.009870889
41.273177,192.168.137.85,43.227.117.155,TLSv1.2,743,37179,443,Botnet,0.009914543
40.364745,172.217.163.34,192.168.137.87,TCP,66,443,42745,Normal,0.009933357
93.036691,192.168.137.87,183.36.108.251,TCP,54,44035,80,Normal,0.009936808
89.922422,192.168.137.87,104.18.8.103,TCP,54,55856,443,Normal,0.010002743
63.674472,59.152.9.237,192.168.137.85,TCP,1434,443,36674,Botnet,0.010009026
24.776472,192.168.137.233,183.36.108.251,TCP,74,55963,80,Botnet,0.010031792
4.161718,192.168.137.87,158.69.127.66,TCP,66,36387,443,Normal,0.010079488
2.002521,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.010198197
2.17777,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.010211318
116.608657,192.229.237.96,192.168.137.87,TLSv1.2,1434,443,44119,Normal,0.010215791
7.14187,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.010215963
7.243545,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.010232207
64.274042,192.168.137.85,59.152.9.237,TCP,94,36674,443,Botnet,0.01031251
108.245756,192.168.137.233,183.36.108.251,TCP,66,56134,80,Botnet,0.010321533
64.99443,192.168.137.85,59.152.9.237,TCP,94,36674,443,Botnet,0.01033146
61.495735,192.168.137.233,183.36.108.251,TCP,54,56098,80,Botnet,0.010390208
64.666168,192.168.137.85,59.152.9.237,TCP,66,36674,443,Botnet,0.010453905
13.956476,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.010520821
4.668267,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.010535705
41.945869,103.102.166.224,192.168.137.87,TCP,1434,443,53196,Normal,0.010548074
70.808193,183.36.108.251,192.168.137.87,TCP,66,80,44012,Normal,0.010566177
13.86065,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.010577222
119.793665,192.168.137.87,183.36.108.251,TCP,74,44067,80,Normal,0.010659873
3.35481,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.010663219
4.499063,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.01066586
113.195225,192.168.137.87,172.217.167.132,TCP,66,40652,443,Normal,0.010666683
6.172469,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.0107272
13.308369,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.010765692
43.505817,192.168.137.87,198.145.13.14,TLSv1.2,189,60516,443,Normal,0.010777784
116.424188,192.229.237.96,192.168.137.87,TCP,74,443,44119,Normal,0.010786012
7.258484,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.010794003
199.188534,172.217.166.97,192.168.137.87,TCP,129,443,56412,Normal,0.010797362
63.105614,59.152.9.237,192.168.137.85,TLSv1.2,1434,443,36674,Botnet,0.010807664
44.897958,192.168.137.87,183.36.108.251,TCP,54,33566,80,Normal,0.010817954
9.38193,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.010860569
65.218093,59.152.9.237,192.168.137.85,TLSv1.2,1434,443,36674,Botnet,0.010911232
59.983582,59.152.9.237,192.168.137.85,TCP,1434,443,36674,Botnet,0.010942427
10.188167,192.168.137.87,158.69.127.66,TCP,78,36387,443,Normal,0.01094732
81.844216,172.64.100.14,192.168.137.87,TCP,54,443,59005,Normal,0.010994181
66.272814,192.168.137.85,59.152.9.237,TCP,94,36674,443,Botnet,0.011014833
64.265662,192.168.137.85,59.152.9.237,TCP,94,36674,443,Botnet,0.011024383
64.282384,59.152.9.237,192.168.137.85,TCP,1434,443,36674,Botnet,0.011031943
59.591921,59.152.9.237,192.168.137.85,TLSv1.2,1434,443,36674,Botnet,0.011033086
59.383122,59.152.9.237,192.168.137.85,TCP,1434,443,36674,Botnet,0.011047453
56.030543,192.168.137.233,183.36.108.251,TCP,74,55997,80,Botnet,0.011078348
